county,median_household_income
"Polk County, Arkansas",49252.0
"Pope County, Arkansas",54606.0
"Prairie County, Arkansas",51094.0
"Pulaski County, Arkansas",60385.0
"Randolph County, Arkansas",52838.0
"St. Francis County, Arkansas",41784.0
"Saline County, Arkansas",76534.0
"Scott County, Arkansas",45955.0
"Searcy County, Arkansas",41978.0
"Sebastian County, Arkansas",56450.0
"Sevier County, Arkansas",51641.0
"Sharp County, Arkansas",42950.0
"Stone County, Arkansas",38531.0
"Union County, Arkansas",50221.0
"Van Buren County, Arkansas",47266.0
"Washington County, Arkansas",66426.0
"White County, Arkansas",53435.0
"Woodruff County, Arkansas",49982.0
"Yell County, Arkansas",58870.0
"Alameda County, California",126240.0
"Alpine County, California",110781.0
"Amador County, California",81526.0
"Butte County, California",68574.0
"Calaveras County, California",79877.0
"Colusa County, California",75149.0
"Contra Costa County, California",125727.0
"Del Norte County, California",66780.0
"El Dorado County, California",106190.0
"Fresno County, California",71434.0
"Glenn County, California",70487.0
"Humboldt County, California",61135.0
"Imperial County, California",56393.0
"Inyo County, California",72432.0
"Kern County, California",67660.0
"Kings County, California",68750.0
"Lake County, California",58738.0
"Lassen County, California",64395.0
"Los Angeles County, California",87760.0
"Madera County, California",75496.0
"Marin County, California",142785.0
"Mariposa County, California",65378.0
"Mendocino County, California",64688.0
"Merced County, California",65044.0
"Modoc County, California",56648.0
"Mono County, California",86953.0
"Monterey County, California",94486.0
"Napa County, California",108970.0
"Nevada County, California",84905.0
"Orange County, California",113702.0
"Placer County, California",114678.0
"Plumas County, California",64946.0
"Riverside County, California",89672.0
"Sacramento County, California",88724.0
"San Benito County, California",108289.0
"San Bernardino County, California",82184.0
"San Diego County, California",102285.0
"San Francisco County, California",141446.0
"San Joaquin County, California",88531.0
"San Luis Obispo County, California",93398.0
"San Mateo County, California",156000.0
"Santa Barbara County, California",95977.0
"Santa Clara County, California",159674.0
"Santa Cruz County, California",109266.0
"Shasta County, California",71931.0
"Sierra County, California",60000.0
"Siskiyou County, California",55499.0
"Solano County, California",99994.0
"Sonoma County, California",102840.0
"Stanislaus County, California",79661.0
"Sutter County, California",75450.0
"Tehama County, California",61834.0
"Trinity County, California",53498.0
"Tulare County, California",69489.0
"Tuolumne County, California",72259.0
"Ventura County, California",107327.0
"Yolo County, California",88818.0
"Yuba County, California",73313.0
"Adams County, Colorado",91387.0
"Alamosa County, Colorado",51445.0
"Arapahoe County, Colorado",97215.0
"Archuleta County, Colorado",76524.0
"Baca County, Colorado",40380.0
"Bent County, Colorado",49194.0
"Boulder County, Colorado",102772.0
"Broomfield County, Colorado",121025.0
"Chaffee County, Colorado",70909.0
"Cheyenne County, Colorado",67768.0
"Clear Creek County, Colorado",96667.0
"Conejos County, Colorado",47209.0
"Costilla County, Colorado",36519.0
"Crowley County, Colorado",47563.0
"Custer County, Colorado",72700.0
"Delta County, Colorado",58330.0
"Denver County, Colorado",91681.0
"Dolores County, Colorado",70490.0
"Douglas County, Colorado",145737.0
"Eagle County, Colorado",103174.0
"Elbert County, Colorado",129477.0
"El Paso County, Colorado",87470.0
"Fremont County, Colorado",61027.0
"Garfield County, Colorado",86172.0
"Gilpin County, Colorado",88654.0
"Grand County, Colorado",84558.0
"Gunnison County, Colorado",77358.0
"Hinsdale County, Colorado",64327.0
"Huerfano County, Colorado",52139.0
"Jackson County, Colorado",41809.0
"Jefferson County, Colorado",107800.0
"Kiowa County, Colorado",56389.0
