"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)",
"0400000US06","California","84097","236",
"0500000US01001","Autauga County, Alabama","62660","4834",
"0500000US01003","Baldwin County, Alabama","64346","2377",
"0500000US01005","Barbour County, Alabama","36422","3282",
"0500000US01007","Bibb County, Alabama","54277","7325",
"0500000US01009","Blount County, Alabama","52830","3197",
"0500000US01011","Bullock County, Alabama","29063","7174",
"0500000US01013","Butler County, Alabama","45236","3880",
"0500000US01015","Calhoun County, Alabama","50977","1889",
"0500000US01017","Chambers County, Alabama","47232","5252",
"0500000US01019","Cherokee County, Alabama","43475","3643",
"0500000US01021","Chilton County, Alabama","56243","3474",
"0500000US01023","Choctaw County, Alabama","38581","3918",
"0500000US01025","Clarke County, Alabama","44108","4738",
"0500000US01027","Clay County, Alabama","45163","4394",
"0500000US01029","Cleburne County, Alabama","48333","4083",
"0500000US01031","Coffee County, Alabama","59034","3382",
"0500000US01033","Colbert County, Alabama","52017","2817",
"0500000US01035","Conecuh County, Alabama","37986","4649",
"0500000US01037","Coosa County, Alabama","50013","5841",
"0500000US01039","Covington County, Alabama","46186","3584",
"0500000US01041","Crenshaw County, Alabama","43103","2584",
"0500000US01043","Cullman County, Alabama","52690","2074",
"0500000US01045","Dale County, Alabama","50052","2907",
"0500000US01047","Dallas County, Alabama","34957","2379",
"0500000US01049","DeKalb County, Alabama","44037","2276",
"0500000US01051","Elmore County, Alabama","67597","3373",
"0500000US01053","Escambia County, Alabama","38464","2175",
"0500000US01055","Etowah County, Alabama","46984","1870",
"0500000US01057","Fayette County, Alabama","43960","5706",
"0500000US01059","Franklin County, Alabama","43633","3161",
"0500000US01061","Geneva County, Alabama","43581","2843",
"0500000US01063","Greene County, Alabama","28826","6091",
"0500000US01065","Hale County, Alabama","32294","8930",
"0500000US01067","Henry County, Alabama","55870","4033",
"0500000US01069","Houston County, Alabama","50222","1195",
"0500000US01071","Jackson County, Alabama","43785","1904",
"0500000US01073","Jefferson County, Alabama","58330","1211",
"0500000US01075","Lamar County, Alabama","43324","5795",
"0500000US01077","Lauderdale County, Alabama","50000","2876",
"0500000US01079","Lawrence County, Alabama","51712","4020",
"0500000US01081","Lee County, Alabama","57191","3176",
"0500000US01083","Limestone County, Alabama","70736","3369",
"0500000US01085","Lowndes County, Alabama","31961","3878",
"0500000US01087","Macon County, Alabama","39303","3004",
"0500000US01089","Madison County, Alabama","71153","2063",
"0500000US01091","Marengo County, Alabama","35379","4747",
"0500000US01093","Marion County, Alabama","44551","3330",
"0500000US01095","Marshall County, Alabama","52938","1990",
"0500000US01097","Mobile County, Alabama","51169","1068",
"0500000US01099","Monroe County, Alabama","32631","6324",
"0500000US01101","Montgomery County, Alabama","52511","1657",
"0500000US01103","Morgan County, Alabama","56128","2252",
"0500000US01105","Perry County, Alabama","27057","4282",
"0500000US01107","Pickens County, Alabama","43389","2350",
"0500000US01109","Pike County, Alabama","40106","4007",
"0500000US01111","Randolph County, Alabama","47081","4388",
"0500000US01113","Russell County, Alabama","44065","1973",
"0500000US01115","St. Clair County, Alabama","65070","3279",
"0500000US01117","Shelby County, Alabama","82592","2846",
"0500000US01119","Sumter County, Alabama","27099","2878",
"0500000US01121","Talladega County, Alabama","45400","2867",
"0500000US01123","Tallapoosa County, Alabama","50652","3460",
"0500000US01125","Tuscaloosa County, Alabama","57508","2243",
"0500000US01127","Walker County, Alabama","47442","4101",
"0500000US01129","Washington County, Alabama","44512","6039",
"0500000US01131","Wilcox County, Alabama","36385","5440",
"0500000US01133","Winston County, Alabama","46096","3419",
"0500000US02013","Aleutians East Borough, Alaska","72258","5076",
"0500000US02016","Aleutians West Census Area, Alaska","90708","2916",
"0500000US02020","Anchorage Municipality, Alaska","88871","1996",
"0500000US02050","Bethel Census Area, Alaska","57460","5482",
"0500000US02060","Bristol Bay Borough, Alaska","81563","15609",
"0500000US02063","Chugach Census Area, Alaska","87868","28526",
"0500000US02066","Copper River Census Area, Alaska","67439","11414",
"0500000US02068","Denali Borough, Alaska","78750","6681",
"0500000US02070","Dillingham Census Area, Alaska","62115","5186",
"0500000US02090","Fairbanks North Star Borough, Alaska","78321","3174",
"0500000US02100","Haines Borough, Alaska","63355","17459",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","55990","8378",
"0500000US02110","Juneau City and Borough, Alaska","90126","5629",
"0500000US02122","Kenai Peninsula Borough, Alaska","70609","2701",
"0500000US02130","Ketchikan Gateway Borough, Alaska","77820","3365",
"0500000US02150","Kodiak Island Borough, Alaska","83765","11023",
"0500000US02158","Kusilvak Census Area, Alaska","37975","5870",
"0500000US02164","Lake and Peninsula Borough, Alaska","49688","9631",
"0500000US02170","Matanuska-Susitna Borough, Alaska","79300","2041",
"0500000US02180","Nome Census Area, Alaska","63977","2566",
"0500000US02185","North Slope Borough, Alaska","83992","11961",
"0500000US02188","Northwest Arctic Borough, Alaska","68654","8044",
"0500000US02195","Petersburg Borough, Alaska","71696","12444",
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","55857","3645",
"0500000US02220","Sitka City and Borough, Alaska","82083","7116",
"0500000US02230","Skagway Municipality, Alaska","75000","8569",
"0500000US02240","Southeast Fairbanks Census Area, Alaska","68634","7549",
"0500000US02275","Wrangell City and Borough, Alaska","54891","7158",
"0500000US02282","Yakutat City and Borough, Alaska","72083","21868",
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","43405","4555",
"0500000US04001","Apache County, Arizona","34788","2289",
"0500000US04003","Cochise County, Arizona","55077","1773",
"0500000US04005","Coconino County, Arizona","61888","1657",
"0500000US04007","Gila County, Arizona","51406","3633",
"0500000US04009","Graham County, Arizona","57105","3762",
"0500000US04011","Greenlee County, Arizona","67723","4122",
"0500000US04012","La Paz County, Arizona","39732","2828",
"0500000US04013","Maricopa County, Arizona","72944","519",
"0500000US04015","Mohave County, Arizona","49738","1355",
"0500000US04017","Navajo County, Arizona","46126","1874",
"0500000US04019","Pima County, Arizona","59215","923",
"0500000US04021","Pinal County, Arizona","65488","1480",
"0500000US04023","Santa Cruz County, Arizona","45089","3117",
"0500000US04025","Yavapai County, Arizona","56170","1530",
"0500000US04027","Yuma County, Arizona","52563","1436",
"0500000US05001","Arkansas County, Arkansas","55022","5169",
"0500000US05003","Ashley County, Arkansas","42683","5176",
"0500000US05005","Baxter County, Arkansas","43530","2018",
"0500000US05007","Benton County, Arkansas","76887","2240",
"0500000US05009","Boone County, Arkansas","48625","2399",
"0500000US05011","Bradley County, Arkansas","41972","4012",
"0500000US05013","Calhoun County, Arkansas","55904","5799",
"0500000US05015","Carroll County, Arkansas","53366","5237",
"0500000US05017","Chicot County, Arkansas","33770","3679",
"0500000US05019","Clark County, Arkansas","45351","4449",
"0500000US05021","Clay County, Arkansas","39817","3349",
"0500000US05023","Cleburne County, Arkansas","48400","1962",
"0500000US05025","Cleveland County, Arkansas","48183","7376",
"0500000US05027","Columbia County, Arkansas","41115","3843",
"0500000US05029","Conway County, Arkansas","45812","3603",
"0500000US05031","Craighead County, Arkansas","51788","2796",
"0500000US05033","Crawford County, Arkansas","52057","2867",
"0500000US05035","Crittenden County, Arkansas","46452","3696",
"0500000US05037","Cross County, Arkansas","45247","4141",
"0500000US05039","Dallas County, Arkansas","34337","6191",
"0500000US05041","Desha County, Arkansas","33295","5289",
"0500000US05043","Drew County, Arkansas","42891","4598",
"0500000US05045","Faulkner County, Arkansas","54845","2997",
