"GEO_ID","NAME","B19013_001M","B19013_001E",
"Geography","Geographic Area Name","Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)",
"0500000US02020","Anchorage Municipality, Alaska","1134","73004",
"0500000US02050","Bethel Census Area, Alaska","3425","52214",
"0500000US02060","Bristol Bay Borough, Alaska","19933","84000",
"0500000US02068","Denali Borough, Alaska","11296","72500",
"0500000US02070","Dillingham Census Area, Alaska","5002","60800",
"0500000US02090","Fairbanks North Star Borough, Alaska","2379","66598",
"0500000US02100","Haines Borough, Alaska","5863","47981",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","6825","43750",
"0500000US02110","Juneau City and Borough, Alaska","5319","75517",
"0500000US02122","Kenai Peninsula Borough, Alaska","2633","57454",
"0500000US02130","Ketchikan Gateway Borough, Alaska","5224","61695",
"0500000US02150","Kodiak Island Borough, Alaska","7958","60776",
"0500000US02164","Lake and Peninsula Borough, Alaska","9912","40909",
"0500000US02170","Matanuska-Susitna Borough, Alaska","1956","67703",
"0500000US02180","Nome Census Area, Alaska","5457","53899",
"0500000US02185","North Slope Borough, Alaska","6005","68517",
"0500000US02188","Northwest Arctic Borough, Alaska","3990","55217",
"0500000US02195","Petersburg Census Area, Alaska","8919","62317",
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","2840","45728",
"0500000US02220","Sitka City and Borough, Alaska","3816","62024",
"0500000US02230","Skagway Municipality, Alaska","10180","73500",
"0500000US02240","Southeast Fairbanks Census Area, Alaska","7072","59596",
"0500000US02261","Valdez-Cordova Census Area, Alaska","7783","60383",
"0500000US02270","Wade Hampton Census Area, Alaska","2035","37955",
"0500000US02275","Wrangell City and Borough, Alaska","5242","50389",
"0500000US02282","Yakutat City and Borough, Alaska","26367","65750",
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","2917","33712",
"0500000US04001","Apache County, Arizona","1368","30184",
"0500000US04003","Cochise County, Arizona","1551","44876",
"0500000US04005","Coconino County, Arizona","1484","49510",
"0500000US04007","Gila County, Arizona","2160","37580",
"0500000US04009","Graham County, Arizona","3124","41683",
"0500000US04011","Greenlee County, Arizona","2912","48696",
"0500000US04012","La Paz County, Arizona","2694","32147",
"0500000US04013","Maricopa County, Arizona","334","55054",
"0500000US04015","Mohave County, Arizona","915","39785",
"0500000US04017","Navajo County, Arizona","1908","39774",
"0500000US04019","Pima County, Arizona","546","45521",
"0500000US04021","Pinal County, Arizona","1076","51310",
"0500000US04023","Santa Cruz County, Arizona","2832","36519",
"0500000US04025","Yavapai County, Arizona","882","43290",
"0500000US04027","Yuma County, Arizona","1162","40340",
"0500000US05001","Arkansas County, Arkansas","2571","37230",
"0500000US05003","Ashley County, Arkansas","2270","34934",
"0500000US05005","Baxter County, Arkansas","1764","35606",
"0500000US05007","Benton County, Arkansas","988","50434",
"0500000US05009","Boone County, Arkansas","2294","36977",
"0500000US05011","Bradley County, Arkansas","3679","29908",
"0500000US05013","Calhoun County, Arkansas","3981","32450",
"0500000US05015","Carroll County, Arkansas","2677","34235",
"0500000US05017","Chicot County, Arkansas","2175","21676",
"0500000US05019","Clark County, Arkansas","3369","31968",
"0500000US05021","Clay County, Arkansas","2817","29066",
"0500000US05023","Cleburne County, Arkansas","2697","35753",
"0500000US05025","Cleveland County, Arkansas","6126","36957",
"0500000US05027","Columbia County, Arkansas","3134","35148",
"0500000US05029","Conway County, Arkansas","3265","32700",
"0500000US05031","Craighead County, Arkansas","1612","39233",
"0500000US05033","Crawford County, Arkansas","2040","40197",
"0500000US05035","Crittenden County, Arkansas","1384","33716",
"0500000US05037","Cross County, Arkansas","2060","37021",
"0500000US05039","Dallas County, Arkansas","2865","29602",
"0500000US05041","Desha County, Arkansas","3170","29051",
"0500000US05043","Drew County, Arkansas","2922","32558",
"0500000US05045","Faulkner County, Arkansas","1872","45287",
"0500000US05047","Franklin County, Arkansas","2700","32064",
"0500000US05049","Fulton County, Arkansas","2805","30598",
"0500000US05051","Garland County, Arkansas","1213","36844",
"0500000US05053","Grant County, Arkansas","2696","51589",
"0500000US05055","Greene County, Arkansas","2003","38209",
"0500000US05057","Hempstead County, Arkansas","2200","35708",
"0500000US05059","Hot Spring County, Arkansas","1964","37150",
"0500000US05061","Howard County, Arkansas","2974","34554",
"0500000US05063","Independence County, Arkansas","1574","34625",
"0500000US05065","Izard County, Arkansas","1830","31673",
"0500000US05067","Jackson County, Arkansas","4440","27615",
"0500000US05069","Jefferson County, Arkansas","1181","35998",
"0500000US05071","Johnson County, Arkansas","2073","30592",
"0500000US05073","Lafayette County, Arkansas","4319","27515",
"0500000US05075","Lawrence County, Arkansas","2898","30288",
