"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2012 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2012 inflation-adjusted dollars)",
"0400000US06","California","61400","154",
"0500000US01001","Autauga County, Alabama","53773","1888",
"0500000US01003","Baldwin County, Alabama","50706","1371",
"0500000US01005","Barbour County, Alabama","31889","2212",
"0500000US01007","Bibb County, Alabama","36824","4346",
"0500000US01009","Blount County, Alabama","45192","1933",
"0500000US01011","Bullock County, Alabama","34500","6593",
"0500000US01013","Butler County, Alabama","30752","2362",
"0500000US01015","Calhoun County, Alabama","40093","1289",
"0500000US01017","Chambers County, Alabama","32181","1387",
"0500000US01019","Cherokee County, Alabama","36241","4312",
"0500000US01021","Chilton County, Alabama","40834","1951",
"0500000US01023","Choctaw County, Alabama","35123","3027",
"0500000US01025","Clarke County, Alabama","30954","3743",
"0500000US01027","Clay County, Alabama","34556","2952",
"0500000US01029","Cleburne County, Alabama","37244","2406",
"0500000US01031","Coffee County, Alabama","44626","2457",
"0500000US01033","Colbert County, Alabama","40158","1738",
"0500000US01035","Conecuh County, Alabama","27064","3998",
"0500000US01037","Coosa County, Alabama","37425","3513",
"0500000US01039","Covington County, Alabama","35321","1759",
"0500000US01041","Crenshaw County, Alabama","37309","4396",
"0500000US01043","Cullman County, Alabama","39244","1728",
"0500000US01045","Dale County, Alabama","45247","1982",
"0500000US01047","Dallas County, Alabama","26178","1923",
"0500000US01049","DeKalb County, Alabama","36853","1449",
"0500000US01051","Elmore County, Alabama","55514","2172",
"0500000US01053","Escambia County, Alabama","31075","1361",
"0500000US01055","Etowah County, Alabama","37660","1232",
"0500000US01057","Fayette County, Alabama","33090","3766",
"0500000US01059","Franklin County, Alabama","37235","2519",
"0500000US01061","Geneva County, Alabama","33618","3137",
"0500000US01063","Greene County, Alabama","23777","4976",
"0500000US01065","Hale County, Alabama","29409","2629",
"0500000US01067","Henry County, Alabama","40680","2576",
"0500000US01069","Houston County, Alabama","41828","784",
"0500000US01071","Jackson County, Alabama","37059","1568",
"0500000US01073","Jefferson County, Alabama","45415","805",
"0500000US01075","Lamar County, Alabama","35271","3204",
"0500000US01077","Lauderdale County, Alabama","40701","1335",
"0500000US01079","Lawrence County, Alabama","39526","2484",
"0500000US01081","Lee County, Alabama","43189","1551",
"0500000US01083","Limestone County, Alabama","48197","1409",
"0500000US01085","Lowndes County, Alabama","28023","2979",
"0500000US01087","Macon County, Alabama","27957","2989",
"0500000US01089","Madison County, Alabama","58242","1045",
"0500000US01091","Marengo County, Alabama","34515","2404",
"0500000US01093","Marion County, Alabama","31970","1370",
"0500000US01095","Marshall County, Alabama","38649","1971",
"0500000US01097","Mobile County, Alabama","42973","765",
"0500000US01099","Monroe County, Alabama","30996","1751",
"0500000US01101","Montgomery County, Alabama","44401","920",
"0500000US01103","Morgan County, Alabama","45852","1770",
"0500000US01105","Perry County, Alabama","31008","2403",
"0500000US01107","Pickens County, Alabama","28762","2142",
"0500000US01109","Pike County, Alabama","31702","2002",
"0500000US01111","Randolph County, Alabama","35074","3033",
"0500000US01113","Russell County, Alabama","33591","1732",
"0500000US01115","St. Clair County, Alabama","49652","2746",
"0500000US01117","Shelby County, Alabama","69379","1639",
"0500000US01119","Sumter County, Alabama","22655","3673",
"0500000US01121","Talladega County, Alabama","35209","1691",
"0500000US01123","Tallapoosa County, Alabama","38611","1797",
"0500000US01125","Tuscaloosa County, Alabama","43996","1393",
"0500000US01127","Walker County, Alabama","37408","1438",
"0500000US01129","Washington County, Alabama","42256","3131",
"0500000US01131","Wilcox County, Alabama","24212","2894",
"0500000US01133","Winston County, Alabama","32830","3239",
"0500000US02013","Aleutians East Borough, Alaska","58125","5781",
"0500000US02016","Aleutians West Census Area, Alaska","77292","4209",
"0500000US02020","Anchorage Municipality, Alaska","76495","1213",
"0500000US02050","Bethel Census Area, Alaska","52349","3413",
"0500000US02060","Bristol Bay Borough, Alaska","79931","23160",
"0500000US02068","Denali Borough, Alaska","74044","11169",
"0500000US02070","Dillingham Census Area, Alaska","56857","4276",
"0500000US02090","Fairbanks North Star Borough, Alaska","69485","2148",
"0500000US02100","Haines Borough, Alaska","50208","7137",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","48942","7193",
"0500000US02110","Juneau City and Borough, Alaska","78947","3346",
"0500000US02122","Kenai Peninsula Borough, Alaska","59421","2090",
"0500000US02130","Ketchikan Gateway Borough, Alaska","59736","5220",
"0500000US02150","Kodiak Island Borough, Alaska","70976","6230",
"0500000US02164","Lake and Peninsula Borough, Alaska","49808","6304",
"0500000US02170","Matanuska-Susitna Borough, Alaska","70728","2256",
"0500000US02180","Nome Census Area, Alaska","51472","2868",
"0500000US02185","North Slope Borough, Alaska","76679","7758",
"0500000US02188","Northwest Arctic Borough, Alaska","60870","4347",
"0500000US02195","Petersburg Census Area, Alaska","61696","11725",
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","45774","3165",
"0500000US02220","Sitka City and Borough, Alaska","66895","4023",
"0500000US02230","Skagway Municipality, Alaska","71583","6065",
"0500000US02240","Southeast Fairbanks Census Area, Alaska","62712","9152",
"0500000US02261","Valdez-Cordova Census Area, Alaska","67421","10436",
"0500000US02270","Wade Hampton Census Area, Alaska","40608","2026",
"0500000US02275","Wrangell City and Borough, Alaska","47348","5102",
"0500000US02282","Yakutat City and Borough, Alaska","71705","5036",
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","35559","3051",
"0500000US04001","Apache County, Arizona","31615","1172",
"0500000US04003","Cochise County, Arizona","45505","1585",
"0500000US04005","Coconino County, Arizona","48320","1916",
"0500000US04007","Gila County, Arizona","38504","1609",
"0500000US04009","Graham County, Arizona","44421","2884",
"0500000US04011","Greenlee County, Arizona","49692","5048",
"0500000US04012","La Paz County, Arizona","35093","4299",
"0500000US04013","Maricopa County, Arizona","54385","329",
"0500000US04015","Mohave County, Arizona","39383","904",
"0500000US04017","Navajo County, Arizona","37683","2027",
"0500000US04019","Pima County, Arizona","46443","508",
"0500000US04021","Pinal County, Arizona","50164","1232",
"0500000US04023","Santa Cruz County, Arizona","37692","2712",
"0500000US04025","Yavapai County, Arizona","43652","1173",
"0500000US04027","Yuma County, Arizona","41156","1168",
"0500000US05001","Arkansas County, Arkansas","39883","2848",
"0500000US05003","Ashley County, Arkansas","38069","3113",
"0500000US05005","Baxter County, Arkansas","35209","1529",
"0500000US05007","Benton County, Arkansas","53515","1215",
"0500000US05009","Boone County, Arkansas","38364","2088",
"0500000US05011","Bradley County, Arkansas","32321","4133",
"0500000US05013","Calhoun County, Arkansas","31425","2890",
"0500000US05015","Carroll County, Arkansas","35558","2243",
"0500000US05017","Chicot County, Arkansas","25188","3427",
"0500000US05019","Clark County, Arkansas","32393","2297",
"0500000US05021","Clay County, Arkansas","32695","2224",
"0500000US05023","Cleburne County, Arkansas","39410","2737",
"0500000US05025","Cleveland County, Arkansas","38060","4769",
"0500000US05027","Columbia County, Arkansas","34895","2648",
"0500000US05029","Conway County, Arkansas","32625","2706",
"0500000US05031","Craighead County, Arkansas","41054","1209",
"0500000US05033","Crawford County, Arkansas","39981","1726",
"0500000US05035","Crittenden County, Arkansas","36521","1817",
"0500000US05037","Cross County, Arkansas","39665","2978",
"0500000US05039","Dallas County, Arkansas","30309","4212",
"0500000US05041","Desha County, Arkansas","29504","3540",
"0500000US05043","Drew County, Arkansas","32087","3870",
"0500000US05045","Faulkner County, Arkansas","49008","1967",
"0500000US05047","Franklin County, Arkansas","35918","4912",
"0500000US05049","Fulton County, Arkansas","35059","3969",
"0500000US05051","Garland County, Arkansas","38680","1498",
"0500000US05053","Grant County, Arkansas","49063","5855",
"0500000US05055","Greene County, Arkansas","38481","2078",
"0500000US05057","Hempstead County, Arkansas","31193","3496",
"0500000US05059","Hot Spring County, Arkansas","39652","2137",
"0500000US05061","Howard County, Arkansas","35236","3628",
"0500000US05063","Independence County, Arkansas","34374","1883",
"0500000US05065","Izard County, Arkansas","31011","2055",
"0500000US05067","Jackson County, Arkansas","31692","3264",
"0500000US05069","Jefferson County, Arkansas","37561","1613",
"0500000US05071","Johnson County, Arkansas","32198","1958",
"0500000US05073","Lafayette County, Arkansas","28633","2535",
"0500000US05075","Lawrence County, Arkansas","32205","3289",
"0500000US05077","Lee County, Arkansas","26098","4375",
"0500000US05079","Lincoln County, Arkansas","34107","4654",
"0500000US05081","Little River County, Arkansas","39042","4026",
"0500000US05083","Logan County, Arkansas","37237","2694",
"0500000US05085","Lonoke County, Arkansas","51499","1176",
"0500000US05087","Madison County, Arkansas","33481","2165",
"0500000US05089","Marion County, Arkansas","33497","2075",
"0500000US05091","Miller County, Arkansas","40314","2092",
"0500000US05093","Mississippi County, Arkansas","35651","2679",
"0500000US05095","Monroe County, Arkansas","28075","3042",
"0500000US05097","Montgomery County, Arkansas","33240","4087",
"0500000US05099","Nevada County, Arkansas","35578","3063",
"0500000US05101","Newton County, Arkansas","27790","4011",
"0500000US05103","Ouachita County, Arkansas","32032","2099",
"0500000US05105","Perry County, Arkansas","42738","4981",
"0500000US05107","Phillips County, Arkansas","27219","2160",
"0500000US05109","Pike County, Arkansas","32087","2002",
"0500000US05111","Poinsett County, Arkansas","31743","1612",
"0500000US05113","Polk County, Arkansas","33479","1948",
"0500000US05115","Pope County, Arkansas","40948","1859",
"0500000US05117","Prairie County, Arkansas","35806","2406",
"0500000US05119","Pulaski County, Arkansas","46102","896",
"0500000US05121","Randolph County, Arkansas","32539","3276",
"0500000US05123","St. Francis County, Arkansas","30104","3307",
"0500000US05125","Saline County, Arkansas","53817","1603",
"0500000US05127","Scott County, Arkansas","38130","4620",
"0500000US05129","Searcy County, Arkansas","30301","2728",
"0500000US05131","Sebastian County, Arkansas","40247","1134",
"0500000US05133","Sevier County, Arkansas","32081","4376",
"0500000US05135","Sharp County, Arkansas","30240","2099",
"0500000US05137","Stone County, Arkansas","32834","2563",
"0500000US05139","Union County, Arkansas","39349","2522",
"0500000US05141","Van Buren County, Arkansas","33900","1882",
"0500000US05143","Washington County, Arkansas","41429","1015",
"0500000US05145","White County, Arkansas","41410","2231",
"0500000US05147","Woodruff County, Arkansas","28061","2208",
"0500000US05149","Yell County, Arkansas","38245","3090",
"0500000US06001","Alameda County, California","71516","707",
"0500000US06003","Alpine County, California","59931","9424",
"0500000US06005","Amador County, California","53462","3001",
"0500000US06007","Butte County, California","43339","1138",
"0500000US06009","Calaveras County, California","54686","2615",
"0500000US06011","Colusa County, California","52165","3165",
"0500000US06013","Contra Costa County, California","78187","1082",
"0500000US06015","Del Norte County, California","39626","4223",
"0500000US06017","El Dorado County, California","70117","1932",
"0500000US06019","Fresno County, California","45741","646",
"0500000US06021","Glenn County, California","42641","4980",
"0500000US06023","Humboldt County, California","40830","1524",
"0500000US06025","Imperial County, California","41255","1301",
"0500000US06027","Inyo County, California","45000","2771",
"0500000US06029","Kern County, California","47727","855",
"0500000US06031","Kings County, California","48761","1255",
"0500000US06033","Lake County, California","38147","2086",
"0500000US06035","Lassen County, California","51921","3072",
"0500000US06037","Los Angeles County, California","56241","266",
"0500000US06039","Madera County, California","47937","1911",
"0500000US06041","Marin County, California","90962","2189",
"0500000US06043","Mariposa County, California","52584","5844",
"0500000US06045","Mendocino County, California","43721","2226",
"0500000US06047","Merced County, California","43565","1385",
"0500000US06049","Modoc County, California","37482","2172",
"0500000US06051","Mono County, California","61868","9290",
"0500000US06053","Monterey County, California","60143","1081",
"0500000US06055","Napa County, California","69571","1746",
"0500000US06057","Nevada County, California","57382","2013",
"0500000US06059","Orange County, California","75566","417",
"0500000US06061","Placer County, California","73356","1244",
"0500000US06063","Plumas County, California","45358","2713",
"0500000US06065","Riverside County, California","57096","485",
"0500000US06067","Sacramento County, California","55846","506",
"0500000US06069","San Benito County, California","63939","2603",
"0500000US06071","San Bernardino County, California","54750","428",
"0500000US06073","San Diego County, California","63373","437",
"0500000US06075","San Francisco County, California","73802","1026",
"0500000US06077","San Joaquin County, California","53895","721",
"0500000US06079","San Luis Obispo County, California","59628","1422",
"0500000US06081","San Mateo County, California","87751","1114",
"0500000US06083","Santa Barbara County, California","62723","1074",
"0500000US06085","Santa Clara County, California","90747","721",
"0500000US06087","Santa Cruz County, California","66571","2126",
"0500000US06089","Shasta County, California","44396","1074",
"0500000US06091","Sierra County, California","42500","9534",
"0500000US06093","Siskiyou County, California","37948","1640",
"0500000US06095","Solano County, California","69006","1351",
