"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)",
"0400000US06","California","61818","156",
"0500000US01001","Autauga County, Alabama","51281","2391",
"0500000US01003","Baldwin County, Alabama","50254","1263",
"0500000US01005","Barbour County, Alabama","32964","2973",
"0500000US01007","Bibb County, Alabama","38678","3995",
"0500000US01009","Blount County, Alabama","45813","3141",
"0500000US01011","Bullock County, Alabama","31938","5884",
"0500000US01013","Butler County, Alabama","32229","1793",
"0500000US01015","Calhoun County, Alabama","41703","925",
"0500000US01017","Chambers County, Alabama","34177","2949",
"0500000US01019","Cherokee County, Alabama","36296","1710",
"0500000US01021","Chilton County, Alabama","41627","2025",
"0500000US01023","Choctaw County, Alabama","33536","2231",
"0500000US01025","Clarke County, Alabama","32011","3088",
"0500000US01027","Clay County, Alabama","35327","4517",
"0500000US01029","Cleburne County, Alabama","38056","3883",
"0500000US01031","Coffee County, Alabama","46729","2066",
"0500000US01033","Colbert County, Alabama","40576","2536",
"0500000US01035","Conecuh County, Alabama","24900","3001",
"0500000US01037","Coosa County, Alabama","31212","2971",
"0500000US01039","Covington County, Alabama","36444","1673",
"0500000US01041","Crenshaw County, Alabama","36022","3041",
"0500000US01043","Cullman County, Alabama","38971","1526",
"0500000US01045","Dale County, Alabama","45028","2413",
"0500000US01047","Dallas County, Alabama","27306","2075",
"0500000US01049","DeKalb County, Alabama","38192","1360",
"0500000US01051","Elmore County, Alabama","53555","1980",
"0500000US01053","Escambia County, Alabama","32330","2209",
"0500000US01055","Etowah County, Alabama","39220","1976",
"0500000US01057","Fayette County, Alabama","34680","2112",
"0500000US01059","Franklin County, Alabama","35372","2437",
"0500000US01061","Geneva County, Alabama","36024","2022",
"0500000US01063","Greene County, Alabama","20541","2413",
"0500000US01065","Hale County, Alabama","32714","2373",
"0500000US01067","Henry County, Alabama","41997","3220",
"0500000US01069","Houston County, Alabama","41571","863",
"0500000US01071","Jackson County, Alabama","37745","1399",
"0500000US01073","Jefferson County, Alabama","45610","910",
"0500000US01075","Lamar County, Alabama","35450","2018",
"0500000US01077","Lauderdale County, Alabama","43125","1602",
"0500000US01079","Lawrence County, Alabama","40003","2651",
"0500000US01081","Lee County, Alabama","44570","2152",
"0500000US01083","Limestone County, Alabama","49570","1409",
"0500000US01085","Lowndes County, Alabama","25876","2478",
"0500000US01087","Macon County, Alabama","30738","2093",
"0500000US01089","Madison County, Alabama","57993","1443",
"0500000US01091","Marengo County, Alabama","32042","2576",
"0500000US01093","Marion County, Alabama","32299","2084",
"0500000US01095","Marshall County, Alabama","38983","1262",
"0500000US01097","Mobile County, Alabama","43809","999",
"0500000US01099","Monroe County, Alabama","27257","3360",
"0500000US01101","Montgomery County, Alabama","44369","1030",
"0500000US01103","Morgan County, Alabama","45751","1183",
