"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)",
"0400000US06","California","63783","188",
"0500000US01001","Autauga County, Alabama","53099","2631",
"0500000US01003","Baldwin County, Alabama","51365","991",
"0500000US01005","Barbour County, Alabama","33956","2655",
"0500000US01007","Bibb County, Alabama","39776","3306",
"0500000US01009","Blount County, Alabama","46212","2443",
"0500000US01011","Bullock County, Alabama","29335","5435",
"0500000US01013","Butler County, Alabama","34315","2904",
"0500000US01015","Calhoun County, Alabama","41954","1381",
"0500000US01017","Chambers County, Alabama","36027","1870",
"0500000US01019","Cherokee County, Alabama","38925","2598",
"0500000US01021","Chilton County, Alabama","42594","2580",
"0500000US01023","Choctaw County, Alabama","32622","2357",
"0500000US01025","Clarke County, Alabama","32735","3261",
"0500000US01027","Clay County, Alabama","38815","4217",
"0500000US01029","Cleburne County, Alabama","36316","3942",
"0500000US01031","Coffee County, Alabama","47872","2517",
"0500000US01033","Colbert County, Alabama","43786","2743",
"0500000US01035","Conecuh County, Alabama","27609","2836",
"0500000US01037","Coosa County, Alabama","31910","2226",
"0500000US01039","Covington County, Alabama","37313","2008",
"0500000US01041","Crenshaw County, Alabama","37557","3008",
"0500000US01043","Cullman County, Alabama","39297","1344",
"0500000US01045","Dale County, Alabama","44093","1857",
"0500000US01047","Dallas County, Alabama","28136","2380",
"0500000US01049","DeKalb County, Alabama","38248","1595",
"0500000US01051","Elmore County, Alabama","53398","2566",
"0500000US01053","Escambia County, Alabama","32334","2283",
"0500000US01055","Etowah County, Alabama","40478","1494",
"0500000US01057","Fayette County, Alabama","36205","1708",
"0500000US01059","Franklin County, Alabama","36138","2678",
"0500000US01061","Geneva County, Alabama","36519","2333",
"0500000US01063","Greene County, Alabama","21339","2957",
"0500000US01065","Hale County, Alabama","33351","2476",
"0500000US01067","Henry County, Alabama","41045","2931",
"0500000US01069","Houston County, Alabama","41945","849",
"0500000US01071","Jackson County, Alabama","38422","1863",
"0500000US01073","Jefferson County, Alabama","47220","774",
"0500000US01075","Lamar County, Alabama","34298","3159",
"0500000US01077","Lauderdale County, Alabama","43657","1484",
"0500000US01079","Lawrence County, Alabama","42339","2999",
"0500000US01081","Lee County, Alabama","45056","1961",
"0500000US01083","Limestone County, Alabama","51115","1899",
"0500000US01085","Lowndes County, Alabama","27914","2588",
"0500000US01087","Macon County, Alabama","32390","2647",
"0500000US01089","Madison County, Alabama","60150","1318",
"0500000US01091","Marengo County, Alabama","30713","2691",
"0500000US01093","Marion County, Alabama","34074","2854",
"0500000US01095","Marshall County, Alabama","39831","1255",
"0500000US01097","Mobile County, Alabama","44263","997",
"0500000US01099","Monroe County, Alabama","28182","5042",
"0500000US01101","Montgomery County, Alabama","45358","982",
"0500000US01103","Morgan County, Alabama","46883","1879",
"0500000US01105","Perry County, Alabama","24912","2889",
"0500000US01107","Pickens County, Alabama","31679","2533",
"0500000US01109","Pike County, Alabama","33193","2358",
"0500000US01111","Randolph County, Alabama","37496","2796",
"0500000US01113","Russell County, Alabama","38400","2234",
"0500000US01115","St. Clair County, Alabama","54042","2410",
