"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)",
"0500000US05001","Arkansas County, Arkansas","38532","2759",
"0500000US05003","Ashley County, Arkansas","36407","2317",
"0500000US05005","Baxter County, Arkansas","40072","1602",
"0500000US05007","Benton County, Arkansas","61271","1146",
"0500000US05009","Boone County, Arkansas","40727","1497",
"0500000US05011","Bradley County, Arkansas","36310","3985",
"0500000US05013","Calhoun County, Arkansas","37225","5419",
"0500000US05015","Carroll County, Arkansas","39686","2195",
"0500000US05017","Chicot County, Arkansas","32412","3098",
"0500000US05019","Clark County, Arkansas","37144","2739",
"0500000US05021","Clay County, Arkansas","32219","2195",
"0500000US05023","Cleburne County, Arkansas","42312","2518",
"0500000US05025","Cleveland County, Arkansas","44840","3699",
"0500000US05027","Columbia County, Arkansas","37072","3441",
"0500000US05029","Conway County, Arkansas","39638","3317",
"0500000US05031","Craighead County, Arkansas","45672","1662",
"0500000US05033","Crawford County, Arkansas","43504","1870",
"0500000US05035","Crittenden County, Arkansas","38558","3004",
"0500000US05037","Cross County, Arkansas","41081","2555",
"0500000US05039","Dallas County, Arkansas","35794","4141",
"0500000US05041","Desha County, Arkansas","27036","2882",
"0500000US05043","Drew County, Arkansas","36092","2533",
"0500000US05045","Faulkner County, Arkansas","50316","2016",
"0500000US05047","Franklin County, Arkansas","39472","2697",
"0500000US05049","Fulton County, Arkansas","36051","3683",
"0500000US05051","Garland County, Arkansas","41672","1593",
"0500000US05053","Grant County, Arkansas","49968","3977",
"0500000US05055","Greene County, Arkansas","45566","3644",
"0500000US05057","Hempstead County, Arkansas","38701","3965",
"0500000US05059","Hot Spring County, Arkansas","40626","1975",
"0500000US05061","Howard County, Arkansas","34851","2771",
"0500000US05063","Independence County, Arkansas","39945","2414",
"0500000US05065","Izard County, Arkansas","39135","2916",
"0500000US05067","Jackson County, Arkansas","32783","2974",
"0500000US05069","Jefferson County, Arkansas","37630","1469",
"0500000US05071","Johnson County, Arkansas","35758","1574",
"0500000US05073","Lafayette County, Arkansas","32500","3065",
"0500000US05075","Lawrence County, Arkansas","37603","2540",
"0500000US05077","Lee County, Arkansas","27901","4074",
"0500000US05079","Lincoln County, Arkansas","38873","8291",
"0500000US05081","Little River County, Arkansas","36963","4212",
"0500000US05083","Logan County, Arkansas","37982","2324",
"0500000US05085","Lonoke County, Arkansas","57290","2075",
"0500000US05087","Madison County, Arkansas","42894","3325",
"0500000US05089","Marion County, Arkansas","36113","2636",
"0500000US05091","Miller County, Arkansas","41862","1885",
"0500000US05093","Mississippi County, Arkansas","36417","1718",
"0500000US05095","Monroe County, Arkansas","31584","3667",
"0500000US05097","Montgomery County, Arkansas","35252","3596",
"0500000US05099","Nevada County, Arkansas","36995","5674",
"0500000US05101","Newton County, Arkansas","38134","4984",
"0500000US05103","Ouachita County, Arkansas","32136","3003",
"0500000US05105","Perry County, Arkansas","46168","3448",
"0500000US05107","Phillips County, Arkansas","26652","1395",
"0500000US05109","Pike County, Arkansas","36893","2512",
"0500000US05111","Poinsett County, Arkansas","37487","2704",
"0500000US05113","Polk County, Arkansas","33870","2290",
"0500000US05115","Pope County, Arkansas","40668","2212",
"0500000US05117","Prairie County, Arkansas","41244","2365",
"0500000US05119","Pulaski County, Arkansas","48850","1099",
"0500000US05121","Randolph County, Arkansas","35930","2002",
"0500000US05123","St. Francis County, Arkansas","33102","2378",
"0500000US05125","Saline County, Arkansas","58985","2015",
"0500000US05127","Scott County, Arkansas","37396","4756",
"0500000US05129","Searcy County, Arkansas","36716","4199",
