"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2011 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2011 inflation-adjusted dollars)",
"0400000US06","California","61632","169",
"0500000US01001","Autauga County, Alabama","53899","2410",
"0500000US01003","Baldwin County, Alabama","51321","1499",
"0500000US01005","Barbour County, Alabama","34041","3009",
"0500000US01007","Bibb County, Alabama","40506","3675",
"0500000US01009","Blount County, Alabama","45404","1672",
"0500000US01011","Bullock County, Alabama","31955","5969",
"0500000US01013","Butler County, Alabama","31273","2519",
"0500000US01015","Calhoun County, Alabama","39467","1089",
"0500000US01017","Chambers County, Alabama","32186","1223",
"0500000US01019","Cherokee County, Alabama","37833","5117",
"0500000US01021","Chilton County, Alabama","40418","2465",
"0500000US01023","Choctaw County, Alabama","32188","4085",
"0500000US01025","Clarke County, Alabama","29668","3004",
"0500000US01027","Clay County, Alabama","35410","3346",
"0500000US01029","Cleburne County, Alabama","38785","3850",
"0500000US01031","Coffee County, Alabama","42065","1835",
"0500000US01033","Colbert County, Alabama","40247","1714",
"0500000US01035","Conecuh County, Alabama","27977","5134",
"0500000US01037","Coosa County, Alabama","37191","2654",
"0500000US01039","Covington County, Alabama","33544","2544",
"0500000US01041","Crenshaw County, Alabama","38041","4751",
"0500000US01043","Cullman County, Alabama","38703","2073",
"0500000US01045","Dale County, Alabama","45491","1681",
"0500000US01047","Dallas County, Alabama","26909","2492",
"0500000US01049","DeKalb County, Alabama","36853","2114",
"0500000US01051","Elmore County, Alabama","54831","2510",
"0500000US01053","Escambia County, Alabama","31638","1780",
"0500000US01055","Etowah County, Alabama","37772","1360",
"0500000US01057","Fayette County, Alabama","33378","2974",
"0500000US01059","Franklin County, Alabama","35831","2111",
"0500000US01061","Geneva County, Alabama","35237","3392",
"0500000US01063","Greene County, Alabama","23004","5965",
"0500000US01065","Hale County, Alabama","29236","2262",
"0500000US01067","Henry County, Alabama","39948","2560",
"0500000US01069","Houston County, Alabama","41766","939",
"0500000US01071","Jackson County, Alabama","36383","1960",
"0500000US01073","Jefferson County, Alabama","45750","705",
"0500000US01075","Lamar County, Alabama","34711","3270",
"0500000US01077","Lauderdale County, Alabama","39702","1735",
"0500000US01079","Lawrence County, Alabama","40009","1984",
"0500000US01081","Lee County, Alabama","42320","1495",
"0500000US01083","Limestone County, Alabama","47199","1580",
"0500000US01085","Lowndes County, Alabama","27905","3823",
"0500000US01087","Macon County, Alabama","29355","3525",
"0500000US01089","Madison County, Alabama","57453","1119",
"0500000US01091","Marengo County, Alabama","35165","3305",
