"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2013 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2013 inflation-adjusted dollars)",
"0400000US06","California","61094","157",
"0500000US01001","Autauga County, Alabama","53682","1500",
"0500000US01003","Baldwin County, Alabama","50221","1574",
"0500000US01005","Barbour County, Alabama","32911","3465",
"0500000US01007","Bibb County, Alabama","36447","3420",
"0500000US01009","Blount County, Alabama","44145","2412",
"0500000US01011","Bullock County, Alabama","32033","7708",
"0500000US01013","Butler County, Alabama","29918","2270",
"0500000US01015","Calhoun County, Alabama","39962","1210",
"0500000US01017","Chambers County, Alabama","32402","1539",
"0500000US01019","Cherokee County, Alabama","34907","2935",
"0500000US01021","Chilton County, Alabama","41250","2234",
"0500000US01023","Choctaw County, Alabama","33941","3881",
"0500000US01025","Clarke County, Alabama","29357","4640",
"0500000US01027","Clay County, Alabama","34002","4152",
"0500000US01029","Cleburne County, Alabama","38019","3070",
"0500000US01031","Coffee County, Alabama","43768","2010",
"0500000US01033","Colbert County, Alabama","39077","2180",
"0500000US01035","Conecuh County, Alabama","24658","3462",
"0500000US01037","Coosa County, Alabama","37277","3429",
"0500000US01039","Covington County, Alabama","35869","1889",
"0500000US01041","Crenshaw County, Alabama","36275","2487",
"0500000US01043","Cullman County, Alabama","38847","1443",
"0500000US01045","Dale County, Alabama","44889","1682",
"0500000US01047","Dallas County, Alabama","26519","1526",
"0500000US01049","DeKalb County, Alabama","37851","1700",
"0500000US01051","Elmore County, Alabama","54766","2355",
"0500000US01053","Escambia County, Alabama","30687","1387",
"0500000US01055","Etowah County, Alabama","38013","1337",
"0500000US01057","Fayette County, Alabama","33838","2284",
"0500000US01059","Franklin County, Alabama","36415","2278",
"0500000US01061","Geneva County, Alabama","35625","2679",
"0500000US01063","Greene County, Alabama","24226","4292",
"0500000US01065","Hale County, Alabama","30051","2304",
"0500000US01067","Henry County, Alabama","41650","2029",
"0500000US01069","Houston County, Alabama","40948","1011",
"0500000US01071","Jackson County, Alabama","37634","1612",
"0500000US01073","Jefferson County, Alabama","45429","728",
"0500000US01075","Lamar County, Alabama","36028","1700",
"0500000US01077","Lauderdale County, Alabama","42844","1182",
"0500000US01079","Lawrence County, Alabama","38551","2884",
"0500000US01081","Lee County, Alabama","43542","1482",
"0500000US01083","Limestone County, Alabama","48619","1489",
"0500000US01085","Lowndes County, Alabama","26230","2895",
"0500000US01087","Macon County, Alabama","30724","2774",
"0500000US01089","Madison County, Alabama","58434","1281",
